Dates,SGBVRVG1 Index,SGBVRZ1  Index,SGBVRES1 Index,SGBVRNK1 Index,SGBVRGX1 Index,SGIXTY10 Index,SGIXRX Index,SGIXGILT Index,SGIXJB10 Index,SGICCLSR Index,SGICGCSR Index,SGICSISR Index,NDUEEGF Index
2000-08-22,0.970994527,1.024160905,1.005263085,0.893373303,0.964105319,1.031775907,1.004170368,0.990856849,1.008823451,1.294316567,0.98267194,0.949740204,0.956857335
2000-08-23,0.969498631,1.020284444,1.00709645,0.889575662,0.959466513,1.035805333,1.006278306,0.992936565,1.004788264,1.322498275,0.973492194,0.940078126,0.951845775
2000-08-24,0.957531463,1.020207294,1.010430667,0.904230184,0.958936329,1.035966598,1.005775896,0.996138714,1.006496029,1.30371047,0.979848763,0.952059502,0.950570512
2000-08-25,0.970433566,1.019819648,1.009263726,0.919969157,0.973515782,1.035966598,1.003964671,0.994943206,1.001866385,1.309263995,0.983732841,0.958632514,0.950152882
2000-08-28,0.975107598,1.01871966,1.012764548,0.930823977,0.97590161,1.032527006,1.002359143,0.994943206,1.000664131,1.337445703,0.983379208,0.965975292,0.946864047
2000-08-29,0.973985676,1.023075591,1.012431336,0.929195238,0.968214246,1.030187554,0.99905161,0.990416937,0.999463359,1.332748752,0.979848763,0.969261798,0.949116265
2000-08-30,0.966693826,1.025556715,1.002595293,0.917255968,0.953767339,1.030510085,1.000349503,0.989724186,1.001162229,1.358799172,0.982318306,0.963463552,0.9432247
2000-08-31,0.967441774,1.037030849,1.014432005,0.914540716,0.962249979,1.036145536,1.000449621,0.989328119,1.001663292,1.348548695,0.996089399,0.975060044,0.943053173
2000-09-01,0.99530155,1.054862568,1.015765552,0.907485599,0.976895553,1.040031369,1.009452955,0.996846081,0.994651376,1.35751634,0.991854633,0.975447427,0.94344843
2000-09-04,1.01026051,1.056723174,1.015765552,0.909384419,0.988625723,1.040031369,1.007561636,0.996547934,0.99773484,1.35751634,0.991854633,0.975447427,0.95247222
2000-09-05,0.998854303,1.048893102,1.008429997,0.889324135,0.981600784,1.040194844,1.006806201,0.994056075,0.995041256,1.379722324,0.98761692,0.974092837,0.950697293
2000-09-06,0.989505596,1.041217332,0.996260073,0.890002433,0.971262804,1.037431241,1.00111768,0.993261018,0.995041256,1.418580766,0.981260351,0.971581097,0.945596241
2000-09-07,0.997732381,1.037340871,1.00456529,0.892715622,0.978154892,1.035485011,1.003620629,0.995048434,0.997902355,1.441639264,0.980553083,0.962883728,0.936967708
2000-09-08,0.977912403,1.023385613,0.997945654,0.895428812,0.963111376,1.037102083,1.000609809,0.990272248,1.006083912,1.372463768,0.977376272,0.960951812,0.933693788
2000-09-11,0.981454874,1.020835384,0.99469021,0.872092496,0.957545053,1.034833322,1.000808225,0.989876182,1.00759303,1.43196119,0.977376272,0.954276331,0.923096428
2000-09-12,0.979317697,1.017214515,0.988120068,0.872636783,0.9471376,1.034833322,1.000808225,0.984531472,1.008701891,1.404932408,0.976671952,0.959089875,0.915795361
2000-09-13,0.961843088,1.004448227,0.990419792,0.879147613,0.929474548,1.038228732,1.002810584,0.984531472,1.006684298,1.378411075,0.976321265,0.956323212,0.917264524
2000-09-14,0.977371361,1.014858819,0.987298887,0.876976649,0.934515563,1.035147017,1.001807584,0.989158585,1.004872763,1.394008038,0.974570777,0.957050492,0.913543143
